id,desc,program,created_at,question_ids
clear30,The Clear30 assessment.,clear30,2024-11-26 19:22:47.5509+00,"[""LO-Age"", ""Consumption-Method"", ""Days-Using"", ""Money-Spent"", ""Trigger"", ""Help-Harm"", ""Previous-Break"", ""Break-Reason"", ""Goal30"", ""Commitment"", ""Then-What"", ""Start-Date"", ""Last-Smoked""]"
life,Post assessment.,life,2024-12-16 04:28:33.047862+00,"[""LO-Use-State"", ""Moderation-Tech"", ""Participation-Reason"", ""Days-Using"", ""Helpful"", ""Not-Helpful"", ""Positive-Results"", ""Mental-Health"", ""Mental-Clarity"", ""Self-Growth"", ""Relationship"", ""Identity"", ""Worth-It"", ""Comments""]"
life-onboarding,Life from onboarding,life,2025-04-07 18:25:32+00,"[""LO-Age"", ""Break-Reason"", ""Consumption-Method"", ""Days-Using"", ""Money-Spent"", ""Help-Harm"", ""Last-Smoked"", ""LO-Use-State""]"
life-short,Mod Abs Switch.,life,2024-11-26 19:24:41.193179+00,"[""LO-Use-State"", ""Moderation-Tech"", ""Last-Smoked""]"
