id,day_offset,type,message,created_at
1,0,craving_meditations,"🙋‍♀️ Hey _CLIENTNAME_, we put together a freeeeee pack of cravings meditations to help you ride out urges. 

📲Grab them here: clear30.org/redir/?des=craving

This week we’ll send you more free tools: 
📝 Journal prompts
📌 Reset posters
🤝 Support guides

So you’ll always have tools by your side 🥳",2025-10-02 17:22:34.424508+00
2,1,journal_prompts,"🧘Here’s a free 30-day pack of quick journal prompts: clear30.org/redir/?des=journal

They’re simple questions designed to help you reflect, notice patterns, and make your weed break feel more intentional.

Try a prompt a day or just whenever you feel like checking in. More free tools coming your way soon 🥳",2025-10-02 17:22:56.872039+00
3,2,betterhelp,"🌱 When you’re trying to make changes, talking to a professional can give you the support to actually make it happen.

We partnered with BetterHelp so you can try therapy at 20% off: clear30.org/redir/?des=therapy

If you’re curious, check it out. If not, no pressure - you’ll still get all the free tools we send 🤞",2025-10-02 17:23:19.827943+00
4,3,support_kit,"🎁 We spent two weeks building the Weed Break Support Kit.

It’s a complete toolkit with our best strategies, roadmaps, and a printable calendar to plan your break.

It’s like getting the Clear30 structure in one place, without joining the program. Keep it on your phone or print it out.

🔗 Unlock it here: clear30.org/redir/?des=suppkt",2025-10-02 17:23:56.115428+00
5,4,discount_33,"😤 Our mission is to make Clear30 available to everyone.

If cost or commitment has been a barrier, here’s 33% off to help you get started: clear30://offer?placement=33off

Don’t have the app? Reinstall from the App Store, then tap the link 📲

Either way we’ll keep sending free tools to support your journey :)",2025-10-02 17:24:26.410079+00
