id,paywall_id,hard,extra_data
32,cb_120life_30y_demo,true,"{""show_tutorial_on_dismiss"": true}"
33,cb_120life_40y_demo,true,"{""show_tutorial_on_dismiss"": true}"
34,stripe_cb_15m_40y_video,true,"{""is_stripe_paywall"": true, ""stripe_product_mapping"": {""org.clear30.Clear30.yearly"": {""amount"": 39.99, ""interval"": ""yearly"", ""trial_days"": 3, ""display_name"": ""Clear30 Yearly"", ""stripe_product_id"": ""prod_TPUxQcIerfACJF""}, ""org.clear30.Clear30.monthly15"": {""amount"": 14.99, ""interval"": ""monthly"", ""trial_days"": 0, ""display_name"": ""Clear30 Monthly"", ""stripe_product_id"": ""prod_TRLzWF54Is3BS0""}}}"
35,qa_stripe_cb_15m_40y_video,true,"{""is_stripe_paywall"": true, ""stripe_product_mapping"": {""org.clear30.Clear30.yearly"": {""amount"": 39.99, ""interval"": ""yearly"", ""trial_days"": 3, ""display_name"": ""Clear30 Yearly (QA)"", ""stripe_product_id"": ""prod_TPTyZX7tpBJMFL""}, ""org.clear30.Clear30.monthly15"": {""amount"": 14.99, ""interval"": ""monthly"", ""trial_days"": 0, ""display_name"": ""Clear30 Monthly (QA)"", ""stripe_product_id"": ""prod_TPcr04Wtw4CXrF""}}}"
36,stripe_popup_discount_30y,true,"{""is_stripe_paywall"": true, ""stripe_product_mapping"": {""org.clear30.Clear30.yearly30"": {""amount"": 29.99, ""interval"": ""yearly"", ""trial_days"": 0, ""display_name"": ""Clear30 Yearly Discount"", ""stripe_product_id"": ""prod_TSChtDwHQLt673""}}}"
37,stripe_popup_gain_control,true,"{""is_stripe_paywall"": true, ""stripe_product_mapping"": {""org.clear30.Clear30.yearly30"": {""amount"": 29.99, ""interval"": ""yearly"", ""trial_days"": 0, ""display_name"": ""Clear30 Yearly Discount"", ""stripe_product_id"": ""prod_TSChtDwHQLt673""}}}"
