id,desc,program,created_at,question_ids
clear30,The Clear30 assessment.,clear30,2024-11-26 19:22:47.5509+00,"[""LO-Age"",""Consumption-Method"",""Days-Using"",""Money-Spent"",""Trigger"",""Help-Harm"",""Previous-Break"",""Break-Reason"",""Goal30"",""Commitment"",""Then-What"",""Start-Date"",""Last-Smoked"",""Referral"",""Smoke-Time"",""Planned-Usage"",""Usage-Duration"",""Biological-Sex""]"
life,Post assessment.,life,2024-12-16 04:28:33.047862+00,"[""Participation-Reason"",""Helpful"",""Not-Helpful"",""Positive-Results"",""Mental-Clarity"",""Self-Growth"",""Relationship"",""Identity"",""Worth-It"",""Mental-Health"",""LO-Use-State"",""Moderation-Tech"",""Days-Using"",""Used-Less"",""Comments"",""Gain_Mental_Clarity-Met"",""Reduce_Anxiety-Met"",""Reduce_Depression-Met"",""Reduce_Being_Stuck_in_Own_Head-Met"",""Improve_Sleep_Quality-Met"",""Improve_Self-Control_and_Intention-Met"",""Reduce_Dependency_on_Cannabis-Met"",""Explore_Life_Without_Cannabis-Met"",""Lower_Tolerance-Met"",""Improve_Overall_Health-Met"",""Improve_Lung_Health-Met"",""Increase_Productivity-Met"",""Increase_Motivation-Met"",""Save_Money-Met"",""Improve_Current_Relationships-Met"",""Enhance_Social_Connections-Met"",""Pass_Work-Required_Drug_Test-Met"",""Meet_Legal_Obligations-Met"",""Other-Met"",""Enter_a_New_Phase_of_My_Life-Met"",""Have_a_Healthy_Pregnancy-Met""]"
life-onboarding,Life from onboarding.,life,2025-04-07 19:56:51+00,"[""LO-Age"",""Break-Reason"",""Consumption-Method"",""Days-Using"",""Money-Spent"",""Help-Harm"",""Last-Smoked"",""LO-Use-State"",""Referral"",""Planned-Usage"",""Usage-Duration"",""Biological-Sex""]"
life-short,Mod Abs Switch.,life,2024-11-26 19:24:41.193179+00,"[""LO-Use-State"",""Moderation-Tech"",""Last-Smoked""]"
