id,user_id,title,content_type,body,video_url,view_count,is_pinned,is_hidden,created_at,updated_at,is_flagged_by_llm,thumbnail_url
1a0997cc-8b63-44e8-9878-79cc2f88f089,clear30,Welcome to the 4/21 Lobby! 🌱,text,"Hey everyone - it's the Clear30 team here. You're officially in the right place! This lobby is all about connecting with others, hyping each other up, and getting ready to take on the next 30 days together.

Feel free to introduce yourself, share what's on your mind, or just see what everyone else is thinking. We're all here gearing up for the same goal, and whatever these 30 days bring, we'll do it together.

Excited to have you with us!",,122,true,false,2025-04-10 18:26:43.847591+00,,false,
d5339647-99ab-4a52-accf-67e32a158d35,clear30,Your 4/21 Break is ON! 🕺,text,"Hey everyone - Clear30 team again. You made it. Your 4/21 break is officially underway!

This community is your space to share how it’s going, get a little boost when things feel tough, or celebrate the moments you're proud of.
Whatever you're feeling right now, you’re definitely not alone. We're all in this together - and you've totally got this.

Let's keep supporting each other, one day at a time.",,126,true,false,2025-04-10 18:42:32.659347+00,,false,
